gfk_code,gfk_text,zensus,alt_rel
31001_2735,"Jagdhaus, Jagdhütte",0,0
31001_2740,"Treibhaus, Gewächshaus",0,0
31001_2741,Treibhaus,0,0
31001_2742,"Gewächshaus, verschiebbar",0,0
31001_3000,Gebäude für öffentliche Zwecke,0,1
31001_3010,Verwaltungsgebäude,0,1
31001_3011,Parlament,0,1
31001_3012,Rathaus,0,1
31001_3013,Post,0,1
31001_3014,Zollamt,0,1
31001_3015,Gericht,0,1
31001_3016,"Botschaft, Konsulat",0,1
31001_3017,Kreisverwaltung,0,1
31001_3018,Bezirksregierung,0,1
31001_3019,Finanzamt,0,1
31001_3020,Gebäude für Bildung und Forschung,0,1
31001_3021,Allgemein bildende Schule,0,1
31001_3022,Berufsbildende Schule,0,1
31001_3023,"Hochschulgebäude (Fachhochschule, Universität)",0,1
31001_3024,Forschungsinstitut,0,1
31001_3030,Gebäude für kulturelle Zwecke,0,1
31001_3031,Schloss,0,0
31001_3032,"Theater, Oper",0,1
31001_3033,Konzertgebäude,0,1
31001_3034,Museum,0,1
31001_3035,"Rundfunk, Fernsehen",0,1
31001_3036,Veranstaltungsgebäude,0,1
31001_3037,"Bibliothek, Bücherei",0,1
31001_3038,"Burg, Festung",0,0
31001_3040,Gebäude für religiöse Zwecke,0,1
31001_3041,Kirche,0,1
31001_3042,Synagoge,0,1
31001_3043,Kapelle,0,1
31001_3044,Gemeindehaus,0,1
31001_3045,Gotteshaus,0,1
31001_3046,Moschee,0,1
31001_3047,Tempel,0,1
31001_3048,Kloster,0,1
31001_3050,Gebäude für Gesundheitswesen,0,1
31001_3051,Krankenhaus,0,1
31001_3052,"Heilanstalt, Pflegeanstalt, Pflegestation",0,1
31001_3053,"Ärztehaus, Poliklinik",0,1
31001_3060,Gebäude für soziale Zwecke,0,1
31001_3061,Jugendfreizeitheim,0,1
31001_3062,"Freizeit-, Vereinsheim, Dorfgemeinschafts-, Bürgerhaus",0,1
31001_3063,Seniorenfreizeitstätte,0,1
31001_3064,Obdachlosenheim,0,1
31001_3065,"Kinderkrippe, Kindergarten, Kindertagesstätte",0,1
31001_3066,Asylbewerberheim,0,1
31001_3070,Gebäude für Sicherheit und Ordnung,0,1
31001_3071,Polizei,0,1
31001_3072,Feuerwehr,0,1
31001_3073,Kaserne,0,1
31001_3074,Schutzbunker,0,0
31001_3075,Justizvollzugsanstalt,0,1
31001_3080,Friedhofsgebäude,0,1
31001_3081,Trauerhalle,0,1
31001_3082,Krematorium,0,1
31001_3090,Empfangsgebäude,0,1
31001_3091,Bahnhofsgebäude,0,1
31001_3092,Flughafengebäude,0,1
31001_3094,Gebäude zum U-Bahnhof,0,1
31001_3095,Gebäude zum S-Bahnhof,0,1
31001_3097,Gebäude zum Busbahnhof,0,1
31001_3098,Empfangsgebäude Schifffahrt,0,1
31001_3100,Gebäude für öffentliche Zwecke mit Wohnen,0,1
31001_3200,Gebäude für Erholungszwecke,0,1
31001_3210,Gebäude für Sportzwecke,0,0
31001_3211,"Sport-, Turnhalle",0,0
31001_3212,Gebäude zum Sportplatz,0,0
31001_3220,Badegebäude,0,1
31001_3221,Hallenbad,0,1
31001_3222,Gebäude im Freibad,0,1
31001_3230,Gebäude im Stadion,0,1
31001_3240,Gebäude für Kurbetrieb,0,1
31001_3241,Badegebäude für medizinische Zwecke,0,1
31001_3242,Sanatorium,0,1
31001_3260,Gebäude im Zoo,0,1
31001_3261,Empfangsgebäude des Zoos,0,1
31001_3262,"Aquarium, Terrarium, Voliere",0,0
31001_3263,Tierschauhaus,0,0
31001_3264,Stall im Zoo,0,0
31001_3270,Gebäude im botanischen Garten,0,1
31001_3271,Empfangsgebäude des botanischen Gartens,0,1
31001_3272,Gewächshaus (Botanik),0,0
31001_3273,Pflanzenschauhaus,0,0
